compound_number,name,chain_type,fucosylation_site,activity_metric,activity_value,activity_units,role,pubchem_cid,smiles_status,smiles,notes
2,Lc3-6azidohexyl,type-2,C3-of-GlcNAc,kcat/KM,0.06,mM-1 s-1,test,53477860,free-sugar-only,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O[C@H]2[C@H]([C@H](O[C@H]([C@@H]2O)O[C@H]([C@@H](CO)O)[C@@H]([C@H](C=O)O)O)CO)O)CO)O)O,GlcNAcb1-3Galb1-4Glc; kcat=0.29 s-1 KM=4.79 mM; azide tag not in PubChem - free sugar shown
11,LacNAc-6azidohexyl,type-2,C3-of-GlcNAc,kcat/KM,0.04,mM-1 s-1,test,439271,free-sugar-only,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O,Galb1-4GlcNAc; kcat=0.35 s-1 KM=9.61 mM; 39x worse efficiency than compound 12
12,GlcNAcb1-3-LacNAc-6azidohexyl,type-2,C3-of-GlcNAc,kcat/KM,1.40,mM-1 s-1,training,,rdkit-constructed,CC(=O)N[C@@H]1[C@@H](O)[C@@H](O)[C@H](O[C@H]2[C@@H](O)[C@@H](CO)O[C@@H](O[C@H]3[C@H](O)[C@@H](NC(C)=O)[C@H](OCCCCCCN=[N+]=[N-])O[C@@H]3CO)[C@@H]2O)O[C@@H]1CO,GlcNAcb1-3Galb1-4GlcNAc; BEST substrate kcat=2.40 s-1 KM=1.72 mM; C28H49N5O16; built with RDKit
19,LNB-6azidohexyl,type-1,C4-of-GlcNAc,kcat/KM,0.00093,mM-1 s-1,test,440994,free-sugar-only,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](OC1O)CO)O)O[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O,Galb1-3GlcNAc; WORST substrate kcat=0.02 s-1 KM=18.14 mM; paper footnote: value is x10-3 mM-1 s-1
20,GlcNAcb1-3-LNB-6azidohexyl,type-1,C4-of-GlcNAc,kcat/KM,0.04,mM-1 s-1,test,,rdkit-constructed,CC(=O)N[C@@H]1[C@@H](O)[C@@H](O)[C@H](O[C@H]2[C@@H](O)[C@@H](CO)O[C@@H](O[C@H]3[C@H](O)[C@@H](CO)OC(OCCCCCCN=[N+]=[N-])[C@@H]3NC(C)=O)[C@@H]2O)O[C@@H]1CO,GlcNAcb1-3Galb1-3GlcNAc; kcat=0.24 s-1 KM=5.65 mM; 65x better than LNB; C28H49N5O16; built with RDKit
3,LNnT-6azidohexyl,type-2,C3-of-GlcNAc,synthesis_yield,74,percent,test,121853,free-sugar-only,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O[C@H]2[C@H]([C@H](O[C@H]([C@@H]2O)O[C@H]([C@@H](CO)O)[C@@H]([C@H](C=O)O)O)CO)O)CO)O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O)O,Galb1-4GlcNAcb1-3Galb1-4Glc; 74% yield 37C 24h
4,LNT-6azidohexyl,type-1,C4-of-GlcNAc,synthesis_yield,70,percent,test,440993,free-sugar-only,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O[C@H]2[C@H]([C@H](O[C@H]([C@@H]2O)O[C@@H]3[C@H](OC([C@@H]([C@H]3O)O)O)CO)CO)O)CO)O)O[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O,Galb1-3GlcNAcb1-3Galb1-4Glc; 70% LNFP VI + 10% difucosylated product
5,LNFP-V-6azidohexyl,type-2,C3-of-GlcNAc,synthesis_yield,53,percent,test,4096542,free-sugar-only,CC1C(C(C(C(O1)OC(C(C=O)O)C(C(CO)O)OC2C(C(C(C(O2)CO)O)OC3C(C(C(C(O3)CO)O)OC4C(C(C(C(O4)CO)O)O)O)NC(=O)C)O)O)O)O,Lacto-N-fucopentaose V; monofucosylated product from compound 3; 86% brsm
6,LNFP-VI-6azidohexyl,type-1,C4-of-GlcNAc,synthesis_yield,65,percent,test,172642741,free-sugar-only,C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)O[C@H]([C@H](C=O)O)[C@@H]([C@@H](CO)O)O[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O)O)NC(=O)C)O)O)O)O,Lacto-N-fucopentaose VI; from compound 4; 88% brsm
7,LNnDFH-II-6azidohexyl,type-2,C3-of-GlcNAc,synthesis_yield,53,percent,test,172638591,azide-tagged,C[C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O[C@H]2[C@@H]([C@H](O[C@H]([C@@H]2O[C@@H]3[C@H]([C@@H]([C@@H]([C@@H](O3)CO)O)O)O)CO)O[C@@H]4[C@@H]([C@@H](O[C@@H]([C@H]4O)O[C@H]5[C@@H](O[C@@H]([C@H]([C@@H]5O[C@@H]6[C@@H]([C@H]([C@H]([C@H](O6)C)O)O)O)O)OCCCCCCN=[N+]=[N-])CO)CO)O)NC(=O)C)O)O)O,Lacto-N-neodifucohexaose II; difucosylated from LNFP V; PubChem has azide-tagged version
