compound_number,name,sugar_structure,chain_type,fucosylation_site,fucose_linkage,role,kcat_s,kcat_err_s,KM_mM,KM_err_mM,kcat_KM_mM_s,kcat_KM_err_mM_s,synthesis_yield_pct,paper_activity,paper_activity_type,normalized_energy,energy_x0,energy_xmax,energy_scaling_factor,pubchem_cid,smiles_status,substrate_smiles,substrate_formula,product_smiles,notes
2,Lc3-6azidohexyl,"GlcNAcβ1,3-Galβ1,4Glc",type-2,C3_Glc,alpha1_3,kinetic_substrate,0.29,0.02,4.79,0.94,0.06,0.02,,0.06,kcat_KM_mM_s,0.06655738307697123,1.0,1.4,0.875469,53477860,rdkit-constructed,CC(=O)N[C@@H]1[C@@H](O)[C@@H](O)[C@H](O[C@H]2[C@@H](O)[C@@H](CO)O[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](OCCCCCCN=[N+]=[N-])O[C@@H]3CO)[C@@H]2O)O[C@@H]1CO,C26H46N4O16,,"Type-2 chain (LacNAc→Glc). FucTIII α1,3-fucosylates C3 of Glc (reducing end). kcat/KM 39× lower than LacNAc disaccharide alone; medium affinity."
11,LacNAc-6azidohexyl,"Galβ1,4GlcNAc",type-2,C3_GlcNAc,alpha1_3,kinetic_substrate,0.35,0.03,9.61,1.58,0.04,0.02,71,0.04,kcat_KM_mM_s,0.044799672997833995,1.0,1.4,0.875469,439271,pubchem-ring-azide,CC(=O)N[C@H]1[C@H](OCCCCCCN=[N+]=[N-])O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@@H]1O,C20H36N4O11,,"Type-2 disaccharide (LacNAc). Synthesis to Lex in 71% yield (23h). 39× worse kcat/KM than GlcNAcβ1,3-LacNAc (cmpd 12)."
12,GlcNAcb1-3-LacNAc-6azidohexyl,"GlcNAcβ1,3-Galβ1,4GlcNAc",type-2,C3_GlcNAc,alpha1_3,kinetic_substrate,2.4,0.08,1.72,0.24,1.4,0.32,71,1.4,kcat_KM_mM_s,1.0,1.0,1.4,0.875469,,rdkit-constructed,CC(=O)N[C@@H]1[C@@H](O)[C@@H](O)[C@H](O[C@H]2[C@@H](O)[C@@H](CO)O[C@@H](O[C@H]3[C@H](O)[C@@H](NC(C)=O)[C@H](OCCCCCCN=[N+]=[N-])O[C@@H]3CO)[C@@H]2O)O[C@@H]1CO,C28H49N5O16,,"BEST substrate. Additional GlcNAc at non-reducing end boosts kcat 7× and lowers KM 6×. Synthesis to GlcNAcβ1,3-Lex in 71% yield (6h, faster than compound 11). C28H49N5O16."
19,LNB-6azidohexyl,"Galβ1,3GlcNAc",type-1,C4_GlcNAc,alpha1_4,kinetic_substrate,0.02,0.0,18.14,2.0,0.00093,0.00048,47,0.00093,kcat_KM_mM_s,0.0010617944174018568,1.0,1.4,0.875469,440994,pubchem-ring-azide,CC(=O)N[C@H]1C(OCCCCCCN=[N+]=[N-])O[C@H](CO)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,C20H36N4O11,,"WORST substrate. Type-1 disaccharide (LNB). Paper footnote: value is ×10⁻³ mM⁻¹s⁻¹ (= 0.93 μM⁻¹s⁻¹). Synthesis to Lea in 47% yield (77% brsm, 48h). 39× worse than LacNAc (type-2 counterpart)."
20,GlcNAcb1-3-LNB-6azidohexyl,"GlcNAcβ1,3-Galβ1,3GlcNAc",type-1,C4_GlcNAc,alpha1_4,kinetic_substrate,0.24,0.01,5.65,0.68,0.04,0.02,55,0.04,kcat_KM_mM_s,0.044799672997833995,1.0,1.4,0.875469,,rdkit-constructed,CC(=O)N[C@@H]1[C@@H](O)[C@@H](O)[C@H](O[C@H]2[C@@H](O)[C@@H](CO)O[C@@H](O[C@H]3[C@H](O)[C@@H](CO)OC(OCCCCCCN=[N+]=[N-])[C@@H]3NC(C)=O)[C@@H]2O)O[C@@H]1CO,C28H49N5O16,,"65× better kcat/KM than LNB (cmpd 19). Additional GlcNAc at non-reducing end lowers KM 3× and raises kcat 12×. Synthesis to GlcNAcβ1,3-Lea in 55% (89% brsm, 42h). C28H49N5O16."
3,LNT-6azidohexyl,"Galβ1,3GlcNAcβ1,3Galβ1,4Glc",type-1,C4_GlcNAc,alpha1_4,synthesis_substrate,,,,,,,70,70,synthesis_yield_pct,1.0,1.0,1.4,0.875469,440993,pubchem-ring-azide,CC(=O)N[C@H]1[C@H](O[C@H]2[C@@H](O)[C@@H](CO)O[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(OCCCCCCN=[N+]=[N-])O[C@@H]3CO)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,C32H56N4O21,,LNT (lacto-N-tetraose). FucTIII gives LNFP V at 70% yield; double fucosylation with 2.5 equiv GDP-Fuc gives LNDFH II at 53% (86% brsm). Type-1 chain; fucosylation at GlcNAc C4.
4,LNnT-6azidohexyl,"Galβ1,4GlcNAcβ1,3Galβ1,4Glc",type-2,C3_Glc,alpha1_3,synthesis_substrate,,,,,,,70,70,synthesis_yield_pct,1.0,1.0,1.4,0.875469,121853,needs-construction,,,,"LNnT (lacto-N-neotetraose). FucTIII α1,3-fucosylates Glc C3 (reducing end, not LacNAc) giving LNFP VI (70%) and LNnDFH II (10%) simultaneously. Refucosylating LNFP VI gives LNnDFH II at 65% (88% brsm). Open-chain Glc in PubChem SMILES; ring-form construction needed. Expected C32H56N4O21."
21,Fuca1-2-LNB-6azidohexyl,"Fucα1,2-Galβ1,3GlcNAc",type-1,C4_GlcNAc,alpha1_4,synthesis_substrate,,,,,,,51,51,synthesis_yield_pct,1.0,1.0,1.4,0.875469,,needs-construction,,,,"H-1 antigen (Fucα1,2-LNB). Synthesis → Leb (both α1,2 and α1,4 Fuc) at 51% (91% brsm, 46h). α1,2-Fuc at Gal does NOT block FucTIII from adding α1,4-Fuc at GlcNAc C4. SMILES not yet constructed."
22,Siaa2-3-LNB-6azidohexyl,"Siaα2,3-Galβ1,3GlcNAc",type-1,inactive,none,inactive,,,,,,,0,0,boolean,0.0,1.0,1.4,0.875469,,rdkit-constructed,CC(=O)N[C@@H]1[C@@H]([C@H](O)[C@H](O)CO)O[C@@](O[C@H]2[C@@H](O)[C@@H](CO)O[C@@H](O[C@H]3[C@H](O)[C@@H](CO)OC(OCCCCCCN=[N+]=[N-])[C@@H]3NC(C)=O)[C@@H]2O)(C(=O)O)C[C@@H]1O,C31H53N5O19,,"EXPLICIT NEGATIVE. Siaα2,3-Galβ1,3GlcNAc: Sia at Gal C3 (where GlcNAc is normally at C3 in LNB-type substrates) completely abolishes α1,4-fucosylation. Confirmed no detectable product in synthesis attempt. C31H53N5O19."
7,LNnDFH-II-6azidohexyl,"Fucα1,3-Galβ1,4GlcNAcβ1,3Galβ1,4[Fucα1,3]Glc",type-2,product,alpha1_3_double,synthesis_product,,,,,,,65,65,synthesis_yield_pct,,1.0,1.4,0.875469,172638591,azide-tagged-pubchem,C[C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O[C@H]2[C@@H]([C@H](O[C@H]([C@@H]2O[C@@H]3[C@H]([C@@H]([C@@H]([C@@H](O3)CO)O)O)O)CO)O[C@@H]4[C@@H]([C@@H](O[C@@H]([C@H]4O)O[C@H]5[C@@H](O[C@@H]([C@H]([C@@H]5O[C@@H]6[C@@H]([C@H]([C@H]([C@H](O6)C)O)O)O)O)OCCCCCCN=[N+]=[N-])CO)CO)O)NC(=O)C)O)O)O,C44H76N4O29,,Lacto-N-neodifucohexaose II. Di-fucosylated product from LNnT (cmpd 4). 65% yield (88% brsm) by refucosylating LNFP VI; only 10% in single step from LNnT. PubChem has azide-tagged SMILES.
