category,substrate,eTATase_kf_over_KD_M-1_s-1,eTATase_kf_s-1,eAATase_kf_over_KD_M-1_s-1,eAATase_kf_s-1,ratio_eTATase_over_eAATase_kf_over_KD,substrate_smiles,product_smiles,reaction_smiles_partial,structure_status,mapping_status,curation_notes,structure_source,source_citation_key
Charged side chains,Aspartate,5.4e4,240,2.1e5,590,0.26,N[C@@H](CC(=O)O)C(=O)O,OC(=O)C(=O)CC(=O)O,N[C@@H:2](CC(=O)O)[C:3](=[O:4])[OH:5]>>[C:2](=O)(CC(=O)O)[C:3](=[O:4])[OH:5],ok,partial_mapped,L-Aspartate (Asp). Natural substrate. Product is oxaloacetate.,standard_amino_acid,Onuffer_1995
Charged side chains,Glutamate,7.5e3,,1.1e4,,0.68,N[C@@H](CCC(=O)O)C(=O)O,OC(=O)C(=O)CCC(=O)O,N[C@@H:2](CCC(=O)O)[C:3](=[O:4])[OH:5]>>[C:2](=O)(CCC(=O)O)[C:3](=[O:4])[OH:5],ok,partial_mapped,L-Glutamate (Glu). Natural substrate. Product is alpha-ketoglutarate (2-oxoglutarate).,standard_amino_acid,Onuffer_1995
Charged side chains,2-Aminoadipate,4.3,,5.2,,0.83,N[C@@H](CCCC(=O)O)C(=O)O,OC(=O)C(=O)CCCC(=O)O,N[C@@H:2](CCCC(=O)O)[C:3](=[O:4])[OH:5]>>[C:2](=O)(CCCC(=O)O)[C:3](=[O:4])[OH:5],ok,partial_mapped,L-2-Aminoadipic acid. One extra methylene vs Glu. Product is 2-oxoadipate.,standard_amino_acid,Onuffer_1995
Charged side chains,Arginine (mu = 0.2),0.25,,0.011,,23,N[C@@H](CCCNC(=N)N)C(=O)O,OC(=O)C(=O)CCCNC(=N)N,N[C@@H:2](CCCNC(=N)N)[C:3](=[O:4])[OH:5]>>[C:2](=O)(CCCNC(=N)N)[C:3](=[O:4])[OH:5],needs_review,partial_mapped,"L-Arginine measured at ionic strength mu=0.2. Same compound as 'Arginine (mu = 1.0)' row — different kinetic conditions, not a distinct substrate. Guanidinium pKa ~12.5; SMILES written with uncharged guanidine. Physiologically the guanidinium carries a +1 charge. Protonation state should be standardized before modeling. When building ESOREX training data, deduplicate or average both Arg rows.",standard_amino_acid,Onuffer_1995
Charged side chains,Arginine (mu = 1.0),0.73,,0.033,,22,N[C@@H](CCCNC(=N)N)C(=O)O,OC(=O)C(=O)CCCNC(=N)N,N[C@@H:2](CCCNC(=N)N)[C:3](=[O:4])[OH:5]>>[C:2](=O)(CCCNC(=N)N)[C:3](=[O:4])[OH:5],needs_review,partial_mapped,L-Arginine measured at ionic strength mu=1.0. Same compound as 'Arginine (mu = 0.2)' row. See that row for protonation and deduplication notes.,standard_amino_acid,Onuffer_1995
Aromatic side chains,4-Methylphenylalanine,1.7e6,890,800,,1100,N[C@@H](Cc1ccc(C)cc1)C(=O)O,OC(=O)C(=O)Cc1ccc(C)cc1,N[C@@H:2](Cc1ccc(C)cc1)[C:3](=[O:4])[OH:5]>>[C:2](=O)(Cc1ccc(C)cc1)[C:3](=[O:4])[OH:5],ok,partial_mapped,L-4-Methylphenylalanine. Para-methyl Phe analog. Product is 4-methylphenylpyruvate.,literature_analog,Onuffer_1995
Aromatic side chains,Phenylalanine,1.6e6,520,270,,5900,N[C@@H](Cc1ccccc1)C(=O)O,OC(=O)C(=O)Cc1ccccc1,N[C@@H:2](Cc1ccccc1)[C:3](=[O:4])[OH:5]>>[C:2](=O)(Cc1ccccc1)[C:3](=[O:4])[OH:5],ok,partial_mapped,L-Phenylalanine (Phe). Primary natural substrate of eTATase. Product is phenylpyruvate.,standard_amino_acid,Onuffer_1995
Aromatic side chains,Metatyrosine,6.1e5,970,410,,1500,N[C@@H](Cc1cccc(O)c1)C(=O)O,OC(=O)C(=O)Cc1cccc(O)c1,N[C@@H:2](Cc1cccc(O)c1)[C:3](=[O:4])[OH:5]>>[C:2](=O)(Cc1cccc(O)c1)[C:3](=[O:4])[OH:5],ok,partial_mapped,m-Tyrosine (3-hydroxyphenylalanine). Meta-OH on benzyl ring. Positional isomer of tyrosine (para). Product is 3-hydroxyphenylpyruvate.,literature_analog,Onuffer_1995
Aromatic side chains,4-Methoxyphenylalanine,4.6e5,,150,,3100,N[C@@H](Cc1ccc(OC)cc1)C(=O)O,OC(=O)C(=O)Cc1ccc(OC)cc1,N[C@@H:2](Cc1ccc(OC)cc1)[C:3](=[O:4])[OH:5]>>[C:2](=O)(Cc1ccc(OC)cc1)[C:3](=[O:4])[OH:5],ok,partial_mapped,L-4-Methoxyphenylalanine. Para-methoxy Phe analog. Product is 4-methoxyphenylpyruvate.,literature_analog,Onuffer_1995
Aromatic side chains,4-Aminophenylalanine,3.6e5,590,360,,1000,N[C@@H](Cc1ccc(N)cc1)C(=O)O,OC(=O)C(=O)Cc1ccc(N)cc1,N[C@@H:2](Cc1ccc(N)cc1)[C:3](=[O:4])[OH:5]>>[C:2](=O)(Cc1ccc(N)cc1)[C:3](=[O:4])[OH:5],ok,partial_mapped,L-4-Aminophenylalanine. Para-amino Phe analog. The ring amino is a passenger side-chain feature distinct from the alpha-NH2. Product is 4-aminophenylpyruvate.,literature_analog,Onuffer_1995
Aromatic side chains,Tryptophan,3.5e5,340,910,,390,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,OC(=O)C(=O)Cc1c[nH]c2ccccc12,N[C@@H:2](Cc1c[nH]c2ccccc12)[C:3](=[O:4])[OH:5]>>[C:2](=O)(Cc1c[nH]c2ccccc12)[C:3](=[O:4])[OH:5],ok,partial_mapped,L-Tryptophan (Trp). Natural substrate. Indole NH is unmapped (passenger). Product is indolepyruvate.,standard_amino_acid,Onuffer_1995
Aromatic side chains,Tyrosine,3.3e5,660,400,,820,N[C@@H](Cc1ccc(O)cc1)C(=O)O,OC(=O)C(=O)Cc1ccc(O)cc1,N[C@@H:2](Cc1ccc(O)cc1)[C:3](=[O:4])[OH:5]>>[C:2](=O)(Cc1ccc(O)cc1)[C:3](=[O:4])[OH:5],ok,partial_mapped,L-Tyrosine (Tyr). Para-OH Phe. Natural substrate of both enzymes. Product is 4-hydroxyphenylpyruvate.,standard_amino_acid,Onuffer_1995
Aromatic side chains,DOPA,1.2e5,570,310,,390,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,OC(=O)C(=O)Cc1ccc(O)c(O)c1,N[C@@H:2](Cc1ccc(O)c(O)c1)[C:3](=[O:4])[OH:5]>>[C:2](=O)(Cc1ccc(O)c(O)c1)[C:3](=[O:4])[OH:5],ok,partial_mapped,"L-DOPA (L-3,4-dihydroxyphenylalanine). Catechol ring. L-form assumed; verify against paper if uncertain. Product is 3,4-dihydroxyphenylpyruvate (dopapyruvate).",literature_analog,Onuffer_1995
Aromatic side chains,Orthotyrosine,1.1e5,520,28,,4100,N[C@@H](Cc1ccccc1O)C(=O)O,OC(=O)C(=O)Cc1ccccc1O,N[C@@H:2](Cc1ccccc1O)[C:3](=[O:4])[OH:5]>>[C:2](=O)(Cc1ccccc1O)[C:3](=[O:4])[OH:5],ok,partial_mapped,o-Tyrosine (2-hydroxyphenylalanine). Ortho-OH on benzyl ring. Positional isomer of tyrosine (para) and metatyrosine (meta). Product is 2-hydroxyphenylpyruvate.,literature_analog,Onuffer_1995
Aromatic side chains,4-Nitrophenylalanine,8.9e4,550,12,,7300,N[C@@H](Cc1ccc([N+](=O)[O-])cc1)C(=O)O,OC(=O)C(=O)Cc1ccc([N+](=O)[O-])cc1,N[C@@H:2](Cc1ccc([N+](=O)[O-])cc1)[C:3](=[O:4])[OH:5]>>[C:2](=O)(Cc1ccc([N+](=O)[O-])cc1)[C:3](=[O:4])[OH:5],ok,partial_mapped,L-4-Nitrophenylalanine. Para-nitro Phe analog. Nitro group written with formal charges [N+](=O)[O-]. Product is 4-nitrophenylpyruvate.,literature_analog,Onuffer_1995
Aromatic side chains,Phosphotyrosine,7.9e4,820,24,,3300,N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)O,OC(=O)C(=O)Cc1ccc(OP(=O)(O)O)cc1,N[C@@H:2](Cc1ccc(OP(=O)(O)O)cc1)[C:3](=[O:4])[OH:5]>>[C:2](=O)(Cc1ccc(OP(=O)(O)O)cc1)[C:3](=[O:4])[OH:5],needs_review,partial_mapped,"O-Phospho-L-tyrosine. SMILES written as fully neutral phosphate (pKa1~1, pKa2~6). At physiological pH the phosphate carries one negative charge (mono-deprotonated). Protonation state must be standardized to match assay conditions before modeling. Product is the phosphotyrosine alpha-keto acid.",literature_analog,Onuffer_1995
n-Alkyl side chains,Alanine,2.0,,0.49,,2.5,N[C@@H](C)C(=O)O,CC(=O)C(=O)O,N[C@@H:2](C)[C:3](=[O:4])[OH:5]>>[C:2](=O)(C)[C:3](=[O:4])[OH:5],ok,partial_mapped,L-Alanine (Ala). Natural substrate. Methyl side chain. Product is pyruvate.,standard_amino_acid,Onuffer_1995
n-Alkyl side chains,2-Aminobutyrate,10.5,,0.45,,23,N[C@@H](CC)C(=O)O,CCC(=O)C(=O)O,N[C@@H:2](CC)[C:3](=[O:4])[OH:5]>>[C:2](=O)(CC)[C:3](=[O:4])[OH:5],ok,partial_mapped,L-2-Aminobutyric acid (Abu). Ethyl side chain. Product is 2-oxobutyrate.,literature_analog,Onuffer_1995
