

category,substrate,eTATase_kf_over_KD_M-1_s-1,eTATase_kf_s-1,eAATase_kf_over_KD_M-1_s-1,eAATase_kf_s-1,ratio_eTATase_over_eAATase_kf_over_KD,smiles
Charged side chains,Aspartate,5.4e4,240,2.1e5,590,0.26,
Charged side chains,Glutamate,7.5e3,,1.1e4,,0.68,
Charged side chains,2-Aminoadipate,4.3,,5.2,,0.83,
Charged side chains,"Arginine (mu = 0.2)",0.25,,0.011,,23,
Charged side chains,"Arginine (mu = 1.0)",0.73,,0.033,,22,
Aromatic side chains,4-Methylphenylalanine,1.7e6,890,800,,1100,
Aromatic side chains,Phenylalanine,1.6e6,520,270,,5900,
Aromatic side chains,Metatyrosine,6.1e5,970,410,,1500,
Aromatic side chains,4-Methoxyphenylalanine,4.6e5,,150,,3100,
Aromatic side chains,4-Aminophenylalanine,3.6e5,590,360,,1000,
Aromatic side chains,Tryptophan,3.5e5,340,910,,390,
Aromatic side chains,Tyrosine,3.3e5,660,400,,820,
Aromatic side chains,DOPA,1.2e5,570,310,,390,
Aromatic side chains,Orthotyrosine,1.1e5,520,28,,4100,
Aromatic side chains,4-Nitrophenylalanine,8.9e4,550,12,,7300,
Aromatic side chains,Phosphotyrosine,7.9e4,820,24,,3300,
n-Alkyl side chains,Alanine,2.0,,0.49,,2.5,
n-Alkyl side chains,2-Aminobutyrate,10.5,,0.45,,23,
n-Alkyl side chains,Norvaline,140,,0.98,,140,
n-Alkyl side chains,Norleucine,3.4e3,81,4.5,,760,
n-Alkyl side chains,2-Aminooctanoate,1.6e5,83,0.88,,1.8e5,
Branched alkyl side chains,Leucine,380,38,1.8,,220,
Branched alkyl side chains,Valine,0.092,0.011,ND,ND,,
Branched alkyl side chains,CHA,3.0e5,370,2.8,,1.1e5,
