substrate,side_chain_smiles,reaction_smiles_full,prepare_reaction_ok,error
Aspartate,[C:10][C:11](=[O:12])[O:13],[N:1][C@@H:2]([C:10][C:11](=[O:12])[O:13])[C:3](=[O:4])[OH:5].[OH2:6]>>[N:1].[C:2](=[O:6])([C:10][C:11](=[O:12])[O:13])[C:3](=[O:4])[OH:5],ok,
Glutamate,[C:10][C:11][C:12](=[O:13])[O:14],[N:1][C@@H:2]([C:10][C:11][C:12](=[O:13])[O:14])[C:3](=[O:4])[OH:5].[OH2:6]>>[N:1].[C:2](=[O:6])([C:10][C:11][C:12](=[O:13])[O:14])[C:3](=[O:4])[OH:5],ok,
2-Aminoadipate,[C:10][C:11][C:12][C:13](=[O:14])[O:15],[N:1][C@@H:2]([C:10][C:11][C:12][C:13](=[O:14])[O:15])[C:3](=[O:4])[OH:5].[OH2:6]>>[N:1].[C:2](=[O:6])([C:10][C:11][C:12][C:13](=[O:14])[O:15])[C:3](=[O:4])[OH:5],ok,
Arginine (mu = 0.2),[C:10][C:11][C:12][N:13][C:14](=[N:15])[N:16],[N:1][C@@H:2]([C:10][C:11][C:12][N:13][C:14](=[N:15])[N:16])[C:3](=[O:4])[OH:5].[OH2:6]>>[N:1].[C:2](=[O:6])([C:10][C:11][C:12][N:13][C:14](=[N:15])[N:16])[C:3](=[O:4])[OH:5],ok,
Arginine (mu = 1.0),[C:10][C:11][C:12][N:13][C:14](=[N:15])[N:16],[N:1][C@@H:2]([C:10][C:11][C:12][N:13][C:14](=[N:15])[N:16])[C:3](=[O:4])[OH:5].[OH2:6]>>[N:1].[C:2](=[O:6])([C:10][C:11][C:12][N:13][C:14](=[N:15])[N:16])[C:3](=[O:4])[OH:5],ok,
4-Methylphenylalanine,[C:10][c:11]1[c:12][c:13][c:14]([C:17])[c:15][c:16]1,[N:1][C@@H:2]([C:10][c:11]1[c:12][c:13][c:14]([C:17])[c:15][c:16]1)[C:3](=[O:4])[OH:5].[OH2:6]>>[N:1].[C:2](=[O:6])([C:10][c:11]1[c:12][c:13][c:14]([C:17])[c:15][c:16]1)[C:3](=[O:4])[OH:5],ok,
Phenylalanine,[C:10][c:11]1[c:12][c:13][c:14][c:15][c:16]1,[N:1][C@@H:2]([C:10][c:11]1[c:12][c:13][c:14][c:15][c:16]1)[C:3](=[O:4])[OH:5].[OH2:6]>>[N:1].[C:2](=[O:6])([C:10][c:11]1[c:12][c:13][c:14][c:15][c:16]1)[C:3](=[O:4])[OH:5],ok,
Metatyrosine,[C:10][c:11]1[c:12][c:13]([O:17])[c:14][c:15][c:16]1,[N:1][C@@H:2]([C:10][c:11]1[c:12][c:13]([O:17])[c:14][c:15][c:16]1)[C:3](=[O:4])[OH:5].[OH2:6]>>[N:1].[C:2](=[O:6])([C:10][c:11]1[c:12][c:13]([O:17])[c:14][c:15][c:16]1)[C:3](=[O:4])[OH:5],ok,
4-Methoxyphenylalanine,[C:10][c:11]1[c:12][c:13][c:14]([O:17][C:18])[c:15][c:16]1,[N:1][C@@H:2]([C:10][c:11]1[c:12][c:13][c:14]([O:17][C:18])[c:15][c:16]1)[C:3](=[O:4])[OH:5].[OH2:6]>>[N:1].[C:2](=[O:6])([C:10][c:11]1[c:12][c:13][c:14]([O:17][C:18])[c:15][c:16]1)[C:3](=[O:4])[OH:5],ok,
4-Aminophenylalanine,[C:10][c:11]1[c:12][c:13][c:14]([N:17])[c:15][c:16]1,[N:1][C@@H:2]([C:10][c:11]1[c:12][c:13][c:14]([N:17])[c:15][c:16]1)[C:3](=[O:4])[OH:5].[OH2:6]>>[N:1].[C:2](=[O:6])([C:10][c:11]1[c:12][c:13][c:14]([N:17])[c:15][c:16]1)[C:3](=[O:4])[OH:5],ok,
Tryptophan,[C:10][c:11]1[c:12][nH:13][c:14]2[c:15][c:16][c:17][c:18][c:19]12,[N:1][C@@H:2]([C:10][c:11]1[c:12][nH:13][c:14]2[c:15][c:16][c:17][c:18][c:19]12)[C:3](=[O:4])[OH:5].[OH2:6]>>[N:1].[C:2](=[O:6])([C:10][c:11]1[c:12][nH:13][c:14]2[c:15][c:16][c:17][c:18][c:19]12)[C:3](=[O:4])[OH:5],ok,
Tyrosine,[C:10][c:11]1[c:12][c:13][c:14]([O:17])[c:15][c:16]1,[N:1][C@@H:2]([C:10][c:11]1[c:12][c:13][c:14]([O:17])[c:15][c:16]1)[C:3](=[O:4])[OH:5].[OH2:6]>>[N:1].[C:2](=[O:6])([C:10][c:11]1[c:12][c:13][c:14]([O:17])[c:15][c:16]1)[C:3](=[O:4])[OH:5],ok,
DOPA,[C:10][c:11]1[c:12][c:13]([O:17])[c:14]([O:18])[c:15][c:16]1,[N:1][C@@H:2]([C:10][c:11]1[c:12][c:13]([O:17])[c:14]([O:18])[c:15][c:16]1)[C:3](=[O:4])[OH:5].[OH2:6]>>[N:1].[C:2](=[O:6])([C:10][c:11]1[c:12][c:13]([O:17])[c:14]([O:18])[c:15][c:16]1)[C:3](=[O:4])[OH:5],ok,
Orthotyrosine,[C:10][c:11]1[c:12]([O:17])[c:13][c:14][c:15][c:16]1,[N:1][C@@H:2]([C:10][c:11]1[c:12]([O:17])[c:13][c:14][c:15][c:16]1)[C:3](=[O:4])[OH:5].[OH2:6]>>[N:1].[C:2](=[O:6])([C:10][c:11]1[c:12]([O:17])[c:13][c:14][c:15][c:16]1)[C:3](=[O:4])[OH:5],ok,
4-Nitrophenylalanine,[C:10][c:11]1[c:12][c:13][c:14]([N+:17](=[O:18])[O-:19])[c:15][c:16]1,[N:1][C@@H:2]([C:10][c:11]1[c:12][c:13][c:14]([N+:17](=[O:18])[O-:19])[c:15][c:16]1)[C:3](=[O:4])[OH:5].[OH2:6]>>[N:1].[C:2](=[O:6])([C:10][c:11]1[c:12][c:13][c:14]([N+:17](=[O:18])[O-:19])[c:15][c:16]1)[C:3](=[O:4])[OH:5],ok,
